#{"t_start": 1784631092.841802, "env_id": "None"}
r,l,t,best_igd,last_igd
38.380909,60,8318.34037,0.1083262698065928,0.10884335588094636
36.64637,200,8539.904278,0.072167717378298,0.07258841734905766
79.372945,181,8753.243542,0.047278937325434305,0.04778642752260974
58.727128,300,9104.149801,0.06129852699646799,0.061412568688251054
59.035139,198,9323.695739,0.06578931785656512,0.06834034077522667
79.933611,166,9531.429001,0.04817072464417348,0.04838003001125987
34.012976,192,9751.601513,0.07455338132667029,0.07543339940688297
33.792497,129,9905.19256,0.07696958431302471,0.0774355917957654
81.035987,146,10074.342421,0.04828604638902392,0.04851175599554284
54.242592,160,10262.861526,0.06638350064806806,0.06681839965743656
55.801627,217,10500.541162,0.06582609351585347,0.06817900893787156
35.70565,160,10693.961358,0.07664105575398582,0.0783719671905719
80.203498,140,10858.906821,0.04727904767162895,0.04889912471707774
81.80984,282,11184.647128,0.04670972601989619,0.047070685219376567
31.575261,172,11398.046393,0.07210310185321833,0.07500536943837714
56.139906,190,11609.655977,0.0632553328869726,0.06563998339931222
79.997001,191,11847.783612,0.04768139081107831,0.04817270802180648
35.25301,60,11917.747348,0.10726017493266066,0.10980241352307554
40.788668,220,12157.982095,0.06874056205678254,0.07001531880151134
36.932529,141,12300.257965,0.072948950400271,0.07324488219962592
77.632994,147,12477.770521,0.04823637101580337,0.04870803898279692
58.624671,203,12709.422336,0.060989145606557174,0.06196930335991504
77.960256,219,12967.655317,0.04683364900336802,0.047748843823132395
34.613492,163,13159.697482,0.0737723148646776,0.07537671407625157
57.872799,300,13502.503447,0.05987621429055739,0.060073653629388366
36.357674,147,13673.873922,0.07185108808802487,0.07243215102037327
56.344349,164,13845.652582,0.06806717352137476,0.06839033580662504
79.192483,139,14007.689631,0.04849898909444214,0.049276783794869
80.425684,168,14227.193389,0.04884017692807178,0.04902904373891082
29.586489,119,14362.397159,0.08035450800399949,0.08040967346629503
55.547273,167,14559.647645,0.06886775796280935,0.0689549070423844
58.159532,300,14901.901442,0.060407331205587375,0.060614566628922645
39.544744,167,15106.455463,0.07292973265481736,0.07567199862336182
82.204072,233,15375.459303,0.046680674328344066,0.04708842268480809
78.461801,166,15557.838497,0.04734037822009964,0.048017521990823424
33.233956,93,15675.614867,0.10801319516337939,0.10937107686496858
36.423918,158,15854.950617,0.07327434733146594,0.07363139104359873
58.577626,266,16160.651742,0.06157921494360584,0.06176210321294925
79.241364,240,16410.839745,0.045947016078268704,0.04677073844492892
33.985277,162,16627.285171,0.07431248332605687,0.07639234254760827
56.78332,251,16919.32683,0.06276909332837999,0.06600137749246121
35.223975,214,17162.636107,0.07462370668165116,0.07531146849275014
78.265087,127,17314.622473,0.047888755034263465,0.04806087389631782
39.612379,154,17495.631746,0.07202121691251417,0.07489848562668887
34.80545,84,17600.292507,0.10738460708165946,0.10752781820246525
82.354929,194,17827.611922,0.04642804368518423,0.04651145533543446
35.043037,96,17923.28482,0.10817583811540789,0.10869458830169164
39.313277,234,18188.40525,0.07066074616752194,0.07332609726248879
81.184149,165,18394.096351,0.047368812296380965,0.04750329621249116
37.46322,245,18658.982743,0.07028791450816062,0.07120257704559678
79.544406,176,18863.368062,0.04701650853470799,0.048666082727890005
54.781595,136,19038.942288,0.06553748573369399,0.06784924914214291
36.737281,223,19296.369416,0.0718706391805708,0.07284086788001336
81.068403,201,19535.468105,0.04627705299790776,0.046867398276048154
60.019044,300,19870.787529,0.06086590072688074,0.06129214494180509
35.265871,63,19949.926502,0.10790778903207285,0.10892596895017556
35.968886,169,20145.840659,0.07097366421543572,0.0709851430160561
80.093347,103,20260.845236,0.048005666707091305,0.048176794038010444
